Heading A	Heading B	Heading C	Heading D	url A	url B	url C	url D	Long_Name	Short_Name	Units	Static_colourbar_url	Dynamic_colourbar_url	delta_t(yy/mm/dd/hr/mn/ss)
Aerosol	H2SO4	day	1	_ims_metopc_tir_qnrt_	aot0	_day	_global_g0.5_qc0	"IMS-Aerosol (H2SO4 AOT, 1day)"	H2SO4	empty	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_aot0.png	empty	empty
Aerosol	Dust	day	1	_ims_metopc_tir_qnrt_	aot1	_day	_global_g0.5_qc0	"IMS-Aerosol (Dust AOT, 1day)"	Dust	empty	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_aot1.png	empty	empty
Aerosol	H2SO4	night	1	_ims_metopc_tir_qnrt_	aot0	_night	_global_g0.5_qc0	"IMS-Aerosol (H2SO4 AOT, 1day)"	AOT0	empty	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_aot0.png	empty	empty
Aerosol	Dust	night	1	_ims_metopc_tir_qnrt_	aot1	_night	_global_g0.5_qc0	"IMS-Aerosol (Dust AOT, 1day)"	AOT1	empty	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_aot1.png	empty	empty
AVHRR	False Colour	day	1	_ims_metopc_tir_qnrt_	avhrr	_day	_global_g0.5_qc0	"IMS-Image (AVHRR, 1day)"	AVHRR	empty	empty	empty	empty
AVHRR	False Colour	night	1	_ims_metopc_tir_qnrt_	avhrr	_night	_global_g0.5_qc0	"IMS-Image (AVHRR, 1night)"	AVHRR	empty	empty	empty	empty
CH3OH	Column_Average	day	1	_ims_metopc_tir_qnrt_	ch3oh	_day	_global_g0.5_qc0	IMS-CH3OH (1day)	CH3OH	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_ch3oh.png	empty	empty
CH3OH	Column_Average	night	1	_ims_metopc_tir_qnrt_	ch3oh	_night	_global_g0.5_qc0	IMS-CH3OH (1night)	CH3OH	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_ch3oh.png	empty	empty
Cloud	Fraction*height	day	1	_ims_metopc_tir_qnrt_	cfh	_day	_global_g0.5_qc0	"IMS-Effective Cloud (CTF*CTH/5, 1day)"	Cld.Eff.Hgt	km	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_cfh.png	empty	empty
Cloud	Fraction	day	1	_ims_metopc_tir_qnrt_	cfr	_day	_global_g0.5_qc0	"IMS-Cloud (CTF, 1day)"	Cld.Frac	empty	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_cfr.png	empty	empty
